actor,action,rep,phase,frame_in_phase,0x08C,0x1AC,0x118,0x044,0x048,0x054,0x058,0x04C
p1,lk,0,pre,7,0,0,260578,65536,0,65536,65536,0
p1,lk,0,hold,0,0,0,260578,65536,0,65536,65536,0
p1,lk,0,hold,1,0,0,260578,65536,0,65536,65536,0
p1,lk,0,hold,2,0,0,260578,65536,0,65536,65536,0
p1,lk,0,hold,3,0,0,260579,65536,0,65536,65536,0
p1,lk,0,hold,4,0,0,260579,65536,0,65536,65536,0
p1,lk,0,hold,5,0,0,260579,65536,0,65536,65536,0
p1,lk,0,hold,6,0,0,260579,65536,0,65536,65536,0
p1,lk,0,hold,7,0,0,260579,65536,0,65536,65536,0
p1,lk,0,hold,8,0,0,260579,65536,0,65536,65536,0
p1,lk,0,hold,9,0,0,260579,65536,0,65536,65536,0
p1,lk,0,post,0,0,0,260579,65536,0,65536,65536,208
p1,lk,0,post,1,0,0,260580,65536,96,65536,65536,496
p1,lk,0,post,2,0,0,260580,65536,96,65536,65536,496
p1,lk,0,post,3,0,0,260580,65536,304,65536,65536,912
p1,lk,0,post,4,0,0,260580,65536,304,65536,65536,912
p1,lk,0,post,5,0,0,260580,65536,304,65536,65536,912
p1,lk,0,post,6,0,0,260580,65536,496,65536,65520,1504
p1,lk,0,post,7,0,0,260580,65536,704,65536,65488,2208
p1,lk,0,post,8,0,0,260580,65536,704,65536,65488,2208
p1,lk,0,post,9,0,0,260580,65536,1008,65520,65456,3008
p1,lk,0,post,10,0,0,260580,65536,1008,65520,65456,3008
p1,lk,0,post,11,0,0,260580,65536,1008,65520,65456,3008
p1,lk,0,post,12,0,0,260580,65536,1312,65520,65424,3824
p1,lk,0,post,13,0,0,260580,65536,1616,65520,65360,4720
p1,lk,1,pre,0,0,0,260578,65536,0,65536,65536,0
p1,lk,1,pre,1,0,0,260578,65536,0,65536,65536,0
p1,lk,1,pre,2,0,0,260578,65536,0,65536,65536,0
p1,lk,1,pre,3,0,0,260578,65536,0,65536,65536,0
p1,lk,1,pre,4,0,0,260578,65536,0,65536,65536,0
p1,lk,1,pre,5,0,0,260578,65536,0,65536,65536,0
p1,lk,1,pre,6,0,0,260578,65536,0,65536,65536,0
p1,lk,1,pre,7,0,0,260578,65536,0,65536,65536,0
p1,lk,1,hold,0,0,0,260578,65536,0,65536,65536,0
p1,lk,1,hold,1,0,0,260578,65536,0,65536,65536,0
p1,lk,1,hold,2,0,0,260578,65536,0,65536,65536,0
p1,lk,1,hold,3,0,0,260579,65536,0,65536,65536,0
p1,lk,1,hold,4,0,0,260579,65536,0,65536,65536,0
p1,lk,1,hold,5,0,0,260579,65536,0,65536,65536,0
p1,lk,1,hold,6,0,0,260579,65536,0,65536,65536,0
p1,lk,1,hold,7,0,0,260579,65536,0,65536,65536,0
p1,lk,1,hold,8,0,0,260579,65536,0,65536,65536,0
p1,lk,1,hold,9,0,0,260579,65536,0,65536,65536,208
p1,lk,1,post,0,0,0,260579,65536,0,65536,65536,208
p1,lk,1,post,1,0,0,260579,65536,96,65536,65536,496
p1,lk,1,post,2,0,0,260579,65536,96,65536,65536,496
p1,lk,1,post,3,0,0,260580,65536,0,65536,0,4294901760
p1,lk,1,post,4,0,0,260580,65536,304,65536,65536,912
p1,lk,1,post,5,0,0,260580,65536,496,65536,65520,1504
p1,lk,1,post,6,0,0,260580,65536,496,65536,65520,1504
p1,lk,1,post,7,0,0,260580,65536,704,65536,65488,2208
p1,lk,1,post,8,0,0,260580,65536,704,65536,65488,2208
p1,lk,1,post,9,0,0,260580,65536,704,65536,65488,2208
p1,lk,1,post,10,0,0,260580,65536,1008,65520,65456,3008
p1,lk,1,post,11,0,0,260580,65536,1312,65520,65424,3824
p1,lk,1,post,12,0,0,260580,65536,1312,65520,65424,3824
p1,lk,1,post,13,0,0,260580,65536,1312,65520,65424,3824
p1,lk,2,pre,0,0,0,260578,65536,0,65536,65536,0
p1,lk,2,pre,1,0,0,260578,65536,0,65536,65536,0
p1,lk,2,pre,2,0,0,260578,65536,0,65536,65536,0
p1,lk,2,pre,3,0,0,260578,65536,0,65536,65536,0
p1,lk,2,pre,4,0,0,260578,65536,0,65536,65536,0
p1,lk,2,pre,5,0,0,260578,65536,0,65536,65536,0
p1,lk,2,pre,6,0,0,260578,65536,0,65536,65536,0
p1,lk,2,pre,7,0,0,260578,65536,0,65536,65536,0
p1,lk,2,hold,0,0,0,260578,65536,0,65536,65536,0
p1,lk,2,hold,1,0,0,260578,65536,0,65536,65536,0
